station_no,station_name,lat,lon
15018,"Abbey St Bathans",55.85329633,-2.387448356
234150,"Aberlour",57.48021805,-3.205975095
14966,"Aberuchill",56.37078118,-4.019153819
14969,"Aberuthven",56.31968188,-3.658685969
322551,"Abington",55.48691533,-3.69056827
302205,"Aboyne",57.07726163,-2.771636889
115300,"Achfarry",58.31095839,-4.916337385
115301,"Affric Lodge",57.26272622,-5.005979754
133141,"Airyhemming",54.90049986,-4.839842855
234170,"Alford",57.24230294,-2.717123004
115302,"Allanfearn",57.49914747,-4.151564133
234151,"Allnabad",58.34717676,-4.644621014
368538,"Allt a' Ghlas-charnaich",57.70934072,-4.836082499
115304,"Allt Dearg House",57.28490502,-6.187008123
14954,"Almondbank",56.41527516,-3.51359839
535347,"Almondbank at Main Street",56.41717637,-3.516105507
14869,"Almondell",55.90181846,-3.463017734
234152,"Alness",57.69601068,-4.258760757
115500,"Amlaird",55.66964373,-4.413260863
115501,"Amod Farm",55.35009103,-5.717857841
115307,"Anaheilt",56.70184457,-5.57126135
15002,"Ancrum",55.51244139,-2.580776051
14888,"Anie",56.25788155,-4.285414699
336398,"Annan (Creca)",55.02782941,-3.222506029
15198,"Annfield",56.06640057,-3.371633207
234153,"Apigill",58.48007214,-4.207749187
300350,"Arabella Junction",57.75688278,-4.00651316
14922,"Arbroath",56.56723031,-2.588171626
336675,"ArbroathTidal",56.55550327,-2.583060469
234154,"Arcan Spillway",57.55332889,-4.550906092
602637,"Ardachu LF BH6",-3.87578253049072,58.0175636717473
234155,"Ardachy Bridge",57.12952381,-4.678200965
234157,"Ariundle",56.70722202,-5.556782552
115506,"Ashgrove",55.66308049,-4.757486092
372871,"Athelstaneford",55.9852479,-2.736326688
491811,"Auchdergannach",57.22063972,-3.651932222
133060,"Auchendrane",55.40997977,-4.627054661
133061,"Auchengeich",55.91939055,-4.114140851
15163,"Auchentroig",56.11221933,-4.342412217
14964,"Auchinner",56.31678388,-4.112254665
14952,"Auchnafree",56.47302976,-3.904678161
300348,"Auldearn Junction",57.58265875,-3.836662863
234161,"Avochie",57.50564634,-2.782377895
322556,"Avonbank",55.66347112,-4.051617294
15132,"Ayton Castle",55.84727645,-2.114611023
518147,"Badbea",57.86243941,-5.318746664
15103,"Baddinsgill Reservoir",55.7838821,-3.394584951
501947,"Baintown Rain-gauge",56.22101614,-3.042679056
14947,"Balbrogie",56.57225831,-3.240802881
14894,"Balfour Mains",56.1847332,-3.08157055
517412,"Balfron STW",56.06523441,-4.333343318
490985,"Balgray RG",55.73428872,-4.5878755
516803,"Ballachraggan",57.52824441,-3.451567365
14937,"Ballathie",56.5144141,-3.386963945
115509,"Ballindalloch Stables",56.06811229,-4.344619383
14938,"Balmacneil",56.63825013,-3.664198017
115202,"Balmedie STW",57.25007263,-2.0473803
14919,"Balmossie",56.48175497,-2.85166534
234163,"Balnaan",57.30214571,-3.699157201
206846,"Balnafoich",57.38787077,-4.188250573
133062,"Balnowlart",55.10717871,-4.968322113
374852,"Baluniefield",56.48264025,-2.905576117
15065,"Bankfoot",56.50262276,-3.516362582
14897,"Bannockburn",56.09528478,-3.911816854
460188,"Barbush Farm BH",55.03707178,-3.628736322
133063,"Barnaline Lodge",56.27473893,-5.278048706
133142,"Barsolus",54.8658531,-4.951330607
115512,"Barwhillanty",55.01443032,-3.99732547
499809,"Battledykes - Wardmill Farm",56.67359266,-2.895547661
133143,"Beattock",55.31167269,-3.456710814
327235,"Beltmoss",55.98678855,-4.056528766
511675,"Berneray Tide Gauge",57.714282,-7.169577693
368536,"Biggar Burn",55.65035093,-3.543765278
320371,"Birkie Hue",58.16554218,-6.740713858
115516,"Blackdyke Farm",55.52935031,-4.326283061
115203,"Blackhills No 2",57.61017023,-3.222796593
335578,"Blacklaw",57.58092196,-2.60024157
15060,"Blair Castle No 2",56.77396086,-3.85889024
115204,"Blairdaff",57.24844532,-2.505220497
15063,"Blairgowrie",56.60400027,-3.345448103
133064,"Blairston",55.79734306,-4.068305537
15116,"Blythe",55.7374816,-2.662263534
234167,"Boat o  Brig",57.55104115,-3.140387991
234168,"Boat of Garten",57.25078305,-3.746867237
115206,"Bogmore",57.00332694,-2.648213352
115207,"Bogmuchals",57.6130103,-2.7762484
533744,"Boleside",55.59164323,-2.798878774
14885,"Bonnybridge",56.00182143,-3.886990553
115518,"Boreland",55.20254702,-3.320073284
234334,"Borgie Bridge",58.49740038,-4.279784356
101227,"Bow Burn Raingauge",55.44068058,-4.49863386
15161,"Braco (Dunduff)",56.28192154,-3.904225732
115315,"Braeroy Lodge",56.98511362,-4.738585589
133065,"Braevallich",56.21639554,-5.296246434
133144,"Braidlie",55.26142915,-2.824951121
14917,"Brechin",56.72692276,-2.655900389
15058,"Brechin STW",56.72323226,-2.624054251
14889,"Bridge of Allan",56.15901974,-3.956367475
14971,"Bridge of Earn",56.3497307,-3.402582026
234172,"Bridge of Oich",57.09229844,-4.74425988
14887,"Bridge of Teith",56.18573476,-4.055574525
133145,"Bridgemuir",55.14632871,-3.428225271
133066,"Bridgend",55.94910632,-4.129006198
321630,"Brighouse Burn",54.78864247,-4.117404209
115521,"Brigton",55.03779638,-4.566314357
335609,"Broadside",56.02806207,-3.978158502
14987,"Brockhoperig",55.4061286,-3.211513384
234173,"Brodie",57.59244808,-3.708878989
15029,"Broxmouth",55.99077195,-2.48676507
234174,"Bruachrobie",58.0105569,-3.877565412
133146,"Brydekirk",55.02165102,-3.267726412
116009,"Buckie",57.68078962,-2.954125879
115523,"Burnfoot (Hawknest)",55.66513433,-3.895712474
368492,"Burrelton Burn",56.5211801,-3.294527587
335612,"Bush",55.86190844,-3.206554074
234176,"Cabrach",57.34816,-3.034565786
14977,"Cademuir",55.61926614,-3.244232636
523676,"Cairngorm Raingauge and Snow Scale",57.127702,-3.662955858
115526,"Caldercruix STW",55.88933558,-3.904553259
133069,"Calderpark",55.83754619,-4.10777909
14911,"Callander",56.2422863,-4.214924958
338380,"Cambo Sands",56.3008799,-2.650067453
234178,"Camisky",56.87846936,-5.046521526
490984,"Camphill WTW Raingauge",55.75032761,-4.74461262
14950,"Camusvrachan",56.60039168,-4.250199477
133070,"Candermill",55.70088757,-3.966908369
133148,"Canonbie",55.0662645,-2.946231369
306455,"Canonbie Raingauge",55.07786221,-2.942088127
133149,"Capenoch",55.22736754,-3.817044727
576753,"Capenoch Raingauge",55.22666817,-3.816934219
14936,"Caputh",56.53919737,-3.492942476
348952,"Carmyllie War Memorial Obs BH",56.57474711,-2.729419511
577951,"Carmyllie-Hume Farm",56.57464969,-2.741331877
320374,"Carron (Stonehaven)",56.96221164,-2.216208291
565197,"Carron upstream (Stonehaven)",56.96155865,-2.219756428
116042,"Castle Kennedy",54.90675279,-4.944931414
506142,"Castle O'er",55.22290808,-3.180030664
14908,"Castlehill Reservoir",56.2092222,-3.60889654
133071,"Catrine",55.50462561,-4.336590474
116013,"Caulkerbush",54.89874408,-3.672536736
507619,"Causer Crossroads",57.2649992764115,-3.64138230098117
541851,"Chapeltoun Gauging Station",55.6639264,-4.554890682
234183,"Charr",56.94084906,-2.619402267
15004,"Chesters",55.37862961,-2.589607681
335574,"Cheyne",56.97482596,-2.266470239
115534,"Clachan-Seil",56.30375755,-5.601429727
234184,"Clachnaharry",57.4905025,-4.263020458
116011,"Claggan",56.82151065,-5.088839432
499810,"Cleuchhead",56.94774412,-2.388756894
336370,"Cluanie Inn",57.15628843,-5.181590945
115318,"Coignafearn",57.23285188,-4.139289943
115319,"Coille Mhorgil",57.0643694,-5.134923813
15013,"Coldstream",55.64977661,-2.256597919
15126,"Coldstream Sewage Works",55.66440091,-2.226507154
14880,"Colinton",55.90575791,-3.262141625
14921,"Colliston",56.61000991,-2.637841019
552791,"Comer Farm",56.20150723,-4.60131038
525510,"Comiston Rain Gauge",55.91019401,-3.21598827
14951,"Comrie Bridge",56.61422921,-3.980864711
133072,"Condorrat",55.92951508,-4.019603678
234185,"Conon Bridge",57.5694305,-4.440534753
17064,"Cookston Deep",56.61914099,-3.077765295
234187,"Corpach",56.84179895,-5.123822546
472872,"Corrievuic",57.51349507,-5.001875565
115322,"Corrimony",57.33501743,-4.699729622
336434,"Corsock",55.05876816,-3.945715778
301400,"Coulter Reservoir",55.53306378,-3.52983359
975367,"Coupar Angus, Gilleroo",56.54878475,-3.27069639
5981,"Cowbridge",55.89709776,-3.05890347
14983,"Craig Douglas",55.5086,-3.1265
234189,"Craigard",57.06557358,-4.822135914
115541,"Craigdarroch",55.196659,-3.981943267
133073,"Craigend",55.86450249,-4.534803989
356326,"Craigendarroch",56.56990238,-5.749845756
513003,"Craigenlee Croft Raingauge",54.86294592,-5.075279664
4638,"Craigforth",56.1360998,-3.970218251
14956,"Craighall (Perth)",56.60905796,-3.347175751
14867,"Craigiehall",55.96313343,-3.338532726
7926,"Craigmill Burn Observation Borehole",56.51364342,-2.69215367
234190,"Creed Bridge",58.20454028,-6.424227928
15224,"Crichton",55.84509063,-2.988655721
520119,"Crieff",56.36081905,-3.847275886
533741,"Crimmonmogate",57.61852769,-1.928524204
492364,"Cromarty",57.6828141,-4.038547427
348956,"Crombie Country Park Obs BH",56.56228908,-2.777830007
323575,"Crows Nest LF BH W10",57.066862279911,-2.51134136683946
234191,"Culfork",57.18022427,-3.11016313
234192,"Cullen",57.68712295,-2.83323079
517599,"Cullochfairn raingauge",55.4554491546369,-3.9209535143948
498341,"Culloden Battlefield",57.47676464,-4.09126842
14965,"Cultybraggan",56.35972783,-4.001442447
115544,"Culzean Castle",55.35068095,-4.791520726
538826,"Cunninghamhead",55.64794589,-4.584018331
133151,"Dalbeattie",54.92987759,-3.840969588
115546,"Dalbeattie STW",54.92152642,-3.821987578
538510,"Dalblair",55.44485443,-4.151929697
133074,"Daldowie",55.82998694,-4.121948322
327232,"Daldowie STW",55.83262494,-4.122714806
133152,"Dalgig",55.38782272,-4.277163013
14967,"Dalginross",56.37511953,-3.978605821
14925,"Dalhousie Bridge",56.8021744,-2.67047775
341344,"Dall Rannoch No2",56.67767747,-4.302183742
205724,"Dallachy No 2",57.66404417,-3.071018416
327234,"Dalmarnock STW",55.8374507,-4.216965486
14873,"Dalmore",55.84190258,-3.195905294
14960,"Dalnamein",56.79925858,-4.053453634
116020,"Dalry",55.70198453,-4.716787117
115327,"Dalvina",58.36488646,-4.230503452
302120,"Dalwhinnie",56.94069555,-4.238639574
14912,"Damleys Cottage",56.22128534,-3.361631179
133153,"Dargall Lane",55.0785507,-4.428445527
115550,"Darvel Raingauge",55.61477498,-4.284064756
14946,"Dean Bridge",56.5988796,-3.153071161
341338,"Deanston RG",56.19223931,-4.077181451
14986,"Deephope",55.41241422,-3.141967218
365223,"Deerdykes Wood Deep Bedrock Borehole",57.39375416,-2.200145532
365222,"Deerdykes Wood Shallow Bedrock BH",57.3937898,-2.200328735
336852,"Delgaty",57.54745151,-2.401307706
234198,"Delnashaugh",57.39970792,-3.357845061
454765,"Derry Lodge",57.02065155,-3.58738853
335582,"Deskry Shiel",57.18037959,-2.983867766
115329,"Dingwall",57.59992025,-4.446997097
234330,"Dionard",58.49807306,-4.821196451
133077,"Dippen",55.58274848,-5.496523588
115217,"Dipple",57.61125291,-3.115476523
336517,"Dipple G",57.61186846,-3.121035659
234200,"Diriebught House",57.47804173,-4.207153032
115554,"Doonholm",55.42359077,-4.626552148
234202,"Dosmucheran",57.59587318,-5.005770119
133183,"Dow Craig",55.37721095,-4.306229017
133078,"Dreghorn",55.61141199,-4.619377401
464646,"Drum",56.18484641,-3.532323684
115556,"Drumgrain",55.81263002,-4.299507819
378644,"Drumine BH2 Brackley Junction West",57.53996233,-4.012984897
115557,"Drumjohn",55.24992466,-4.32205779
133154,"Drumlanrig",55.27462204,-3.799524299
377134,"Drummore of Cantray",57.48325079,-4.006176025
133080,"Dryfield",55.93891825,-4.182216743
14904,"Duchray",56.15649685,-4.468109175
554833,"Duchray Water",56.19275854,-4.564061145
15216,"Dunbar",56.00371307,-2.52752897
523237,"Dunblane Raingauge",56.1879233406661,-3.97480791123526
459910,"Duncow Deep Obs BH Dumfries",55.13399663,-3.626265673
459909,"Duncow Shallow Obs BH",55.13399663,-3.626265673
530175,"Dundreggan Rain Gauge",57.19161541,-4.767634199
115220,"Dunecht House",57.15982303,-2.413150255
15208,"Dunglass",55.94267446,-2.38288136
115558,"Dungrianach",56.55231051,-5.319559821
115559,"Dunlop",55.70737993,-4.528674906
509196,"Dunnottar Radio Station",56.94652496,-2.21202446
15180,"Dunnswood STW (Cumbernauld)",55.97221885,-3.954505606
234206,"Dunphail",57.51151031,-3.661788536
365257,"Dunstaffnage",56.45050242,-5.439870612
234207,"Durkadale",59.10852817,-3.232172832
568155,"Earlsburn reservoir RG",56.07055238,-4.07597911
14997,"Earlston",55.64075254,-2.691879301
133081,"Eas Daimh",56.40771881,-4.855886468
115560,"East Kilbride",55.75477386,-4.171759227
335659,"East Lathrisk Borehole",56.25925553,-3.157913027
14870,"East Linton",55.98249658,-2.657198972
379371,"Easter Balgedie Farm Obs BH Kinross",56.22105625,-3.337335332
371826,"Easter Langlee Landfill BH 08-03S",55.6210024840135,-2.77025869507769
234209,"Easter Turnaig",57.96185041,-4.700859639
15201,"Edinburgh RBG (Royal Botanic Garden)",55.96662337,-3.212310737
133083,"Eglinton Castle",55.64280886,-4.677656958
492363,"Einig Wood",57.94421601,-4.764511928
115562,"Eliock",55.34583036,-3.899113859
234210,"Ellon",57.36377128,-2.090017282
368495,"Elphin",58.05185192,-5.03101345
14905,"Elrig",56.15679797,-4.46563232
377135,"Erchless",57.42804453,-4.623845183
511674,"Eriskay Tide Gauge",57.07060705,-7.309059721
15100,"Eskdalemuir Observatory",55.31151326,-3.206798775
115221,"Esslemont House",57.36510966,-2.112363417
115563,"Ettrick Bay",55.85650223,-5.145834193
15017,"Eyemouth Mill",55.8651192,-2.095026904
525180,"Eyemouth Tide Gauge",55.87284359,-2.08638411
378262,"Faich Bhiorach",57.69020841,-5.660695458
133084,"Fairholm",55.74419908,-3.986819701
234215,"Fasnakyle",57.31811088,-4.799267396
14895,"Fauld Mill",56.11140757,-3.748668124
300349,"Feddan Junction",57.58762215,-3.726167556
234217,"Feshie Bridge",57.11889938,-3.901082854
133155,"Fiddlers Ford",55.09849668,-3.680572053
15151,"Fife Airport",56.1816502,-3.222449068
234218,"Firhall",57.57160708,-3.869783835
336233,"Fiskavaig",57.32000886,-6.434954871
115339,"Flichity",57.33128618,-4.221750189
336372,"Forehill",57.50635026,-1.843281987
15044,"Forfar STW",56.64119141,-2.909780321
234221,"Forres",57.60477145,-3.644084919
115340,"Forsinain",58.41100711,-3.873563607
14948,"Forter",56.76674681,-3.332205729
14970,"Forteviot Bridge",56.34759942,-3.548359476
534520,"Fortingall - Croftgarrow",56.593023140423,-4.0761125325504
15097,"Foss Mine",56.66693001,-3.931196097
14991,"Fountainhall",55.73663595,-2.905930746
115565,"Fourmerkland",55.1650788,-3.412506453
498342,"Foyers",57.26265002,-4.483020773
552790,"Frenich Farm",56.22694162,-4.56047225
133156,"Friars Carse",55.14868484,-3.690747738
133086,"Gaidrew",56.04809931,-4.434505213
559194,"Gairlochy",56.91442441,-4.991445495
115223,"Gairnshiel",57.09199509,-3.165582141
9683,"Galashiels",55.62706185,-2.827709454
14892,"Gargunnock",56.13266077,-4.070571402
301168,"Garls Craig",55.36599829,-3.616030256
464495,"Garrogie Lodge",57.17006125,-4.442843871
368014,"Garthdee",57.11882365,-2.124396574
15165,"Gartmore (Glenhead)",56.14359903,-4.384422431
234225,"Garve",57.61669586,-4.688028816
115568,"Gatelawbridge",55.25076797,-3.730683565
15051,"Gateside No 2",56.26981667,-3.320837992
14916,"Gella Bridge",56.77535832,-3.027929218
474984,"Gifford Rain Gauge",55.89043578,-2.768969478
15114,"Gilston",55.80025456,-2.883463821
133137,"Girvan Tide Gauge",55.24404201,-4.859673631
15204,"Gladhouse Reservoir",55.7784118,-3.117398754
17068,"Glamis Castle (Drift)",56.62728426,-3.017607865
17067,"Glamis Castle (Solid)",56.62727528,-3.017607623
17066,"Glamis Petrol Station",56.6054023,-3.002749238
581106,"Glassgreen",57.63198387,-3.296482414
335745,"Glen Ample",56.35457736,-4.269993694
115343,"Glen Nevis",56.79923208,-5.067543348
133087,"Glen Orchy",56.44657591,-4.852749436
133088,"Glen Strae",56.42522107,-5.000795867
368490,"Glenbreck",55.48202196,-3.477754728
115344,"Glendessary",56.98039082,-5.346337447
133089,"Glenfalloch",56.33773623,-4.717635246
83013,"Glenfield",55.60118281,-4.493559809
536846,"Glengavel Reservoir",55.59038124,-4.121595498
520118,"Glenkindie No 2",57.2173768986597,-2.95433487436206
133157,"Glenlochar",54.95554151,-3.979143444
327238,"Glenmavis",55.89359141,-4.013210328
234227,"Glenmeanie",57.53261438,-4.863772899
115225,"Glenmore Lodge No 2",57.16421784,-3.677609728
367371,"Glenmuick No2",56.95161175,-3.141253355
14891,"Glenochil",56.14364525,-3.839304837
464636,"Glenquey",56.20739317,-3.642080305
115226,"Glenrinnes Knowe",57.4052084,-3.184950902
15196,"Gogarbank",55.92834002,-3.342742573
14984,"Gordon Arms",55.51137227,-3.096406906
15138,"Gordon Hospital",55.68228917,-2.544391507
363624,"Gourock Tide Gauge",55.96030471,-4.814267835
234228,"Grange",57.54279921,-2.847774986
601515,"Granish Landfill BH GW2",57.2133539663088,-3.81396741135781
234229,"Grantown",57.32177064,-3.606725707
15015,"Grantshouse",55.88238352,-2.292035856
518372,"Graystone Bridge",56.0675405,-4.282616591
133158,"Green Burn",55.0828864,-4.381888551
115348,"Greenland",58.58319519,-3.296244677
327292,"Greenock",55.94370132,-4.723991358
133159,"Greensands",55.06942626,-3.617944341
336403,"Gretna (Douglas Tanks)",55.013004,-3.079745767
15210,"Gullane (Golf Course)",56.03443649,-2.836971165
14924,"Guthrie",56.64274771,-2.706028939
15226,"Haddington STW",55.96050923,-2.75022457
234231,"Halkirk",58.5154974,-3.493004244
133160,"Hall Bridge",55.39297897,-4.079109518
234232,"Halladale",58.47881083,-3.90301916
15105,"Hallmanor House",55.60307614,-3.255418017
133092,"Happendon",55.5801981,-3.816796943
335614,"Harelaw",55.91651494,-3.086776845
15131,"Harelaw Chirnside",55.81194693,-2.199504911
15200,"Harperrig",55.83652095,-3.435270947
335640,"Hatton (Perth)",56.52513594,-2.648539891
115227,"Hatton No 2",57.42757524,-1.909678484
234235,"Haughton",57.27134676,-2.404963889
15001,"Hawick",55.43447121,-2.756965079
15121,"Hawick Sewage Works",55.43132729,-2.772596975
133093,"Hawkhead",55.83606531,-4.398537371
133094,"Hazelbank",55.68735585,-3.854153414
115582,"Hazelwood Cottage",56.26715284,-5.494662553
14886,"Headswood",56.01500087,-3.875456793
8402,"Hermitage",56.5609809,-3.607201681
234237,"Heugh Head",57.02524569,-2.517160888
15166,"High Corrie (Gartmore)",56.1262023,-4.446294544
300351,"Hill of Fearn farm",57.76516209,-3.936363039
133096,"Hoodston Bridge",55.60122684,-4.428249956
559081,"Hottsbridge",55.09041993,-3.167804617
322555,"Howard Park",55.60465827,-4.499004047
15127,"Hungry Snout 2 (Whiteadder Reservoir)",55.86194126,-2.539680781
469625,"Hunterston Terminal",55.74447583,-4.86116797
369548,"Huntly GS",57.45498575,-2.807560217
15020,"Hutton Castle",55.7889,-2.1917
115584,"Hydro Gardens Moffat",55.34214596,-3.452988353
